age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income_gt_50k
25,Private,Some-college,10,Married-civ-spouse,Other-service,Unmarried,White,Female,0,0,39,United-States,0
33,Federal-gov,Some-college,10,Never-married,Adm-clerical,Wife,White,Male,0,0,30,United-States,0
18,Private,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,0,0,42,United-States,0
40,Private,Bachelors,13,Married-civ-spouse,Transport-moving,Own-child,White,Male,0,0,34,United-States,0
40,Private,Assoc-voc,11,Married-civ-spouse,Handlers-cleaners,Not-in-family,Black,Male,0,0,39,United-States,0
38,Without-pay,Bachelors,13,Married-civ-spouse,Farming-fishing,Not-in-family,Asian-Pac-Islander,Male,0,0,37,United-States,0
39,Private,Some-college,10,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,42,United-States,0
31,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Handlers-cleaners,Not-in-family,White,Female,0,0,45,United-States,0
32,Private,9th,5,Never-married,Adm-clerical,Husband,White,Female,0,0,46,United-States,0
32,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Transport-moving,Own-child,White,Female,0,0,35,United-States,0
35,Private,HS-grad,9,Never-married,Machine-op-inspct,Wife,White,Female,0,0,36,United-States,0
47,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,53,United-States,1
51,Self-emp-not-inc,HS-grad,9,Divorced,Tech-support,Wife,White,Female,0,0,40,China,1
37,Self-emp-inc,Assoc-voc,11,Never-married,Sales,Wife,White,Female,0,0,40,Philippines,1
32,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Not-in-family,White,Male,0,0,40,India,0
47,Self-emp-not-inc,HS-grad,9,Never-married,Other-service,Wife,White,Female,0,0,29,Argentina,0
34,Private,Assoc-voc,11,Married-civ-spouse,Other-service,Not-in-family,White,Male,0,0,39,United-States,0
48,Private,Some-college,10,Divorced,Sales,Husband,White,Male,0,0,39,United-States,0
48,Private,Masters,14,Never-married,Sales,Husband,Amer-Indian-Eskimo,Male,0,0,29,United-States,1
40,Private,Bachelors,13,Widowed,Farming-fishing,Wife,White,Male,0,0,27,United-States,0
29,Private,Some-college,10,Never-married,Exec-managerial,Wife,White,Female,5000,0,34,United-States,0
36,Private,HS-grad,9,Never-married,Prof-specialty,Wife,White,Female,0,0,42,Argentina,0
31,Private,Some-college,10,Never-married,Priv-house-serv,Wife,White,Female,0,0,29,Germany,0
50,Local-gov,Bachelors,13,Never-married,Protective-serv,Husband,White,Female,0,1000,40,United-States,0
24,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,1000,0,34,United-States,0
37,Private,Some-college,10,Divorced,Craft-repair,Husband,White,Male,0,500,45,Italy,0
47,Private,Some-college,10,Never-married,Exec-managerial,Husband,White,Male,0,0,38,Canada,0
39,Self-emp-inc,HS-grad,9,Never-married,Tech-support,Husband,Other,Female,0,0,44,Argentina,0
57,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Other,Male,0,0,50,United-States,0
37,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,Black,Female,0,0,41,India,1
33,Private,HS-grad,9,Married-civ-spouse,Other-service,Not-in-family,Other,Female,2000,0,46,Argentina,0
55,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Own-child,White,Female,0,0,39,United-States,1
25,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,40,United-States,0
37,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Female,0,0,43,United-States,1
24,Private,HS-grad,9,Never-married,Farming-fishing,Wife,White,Male,0,0,33,United-States,0
44,Private,Bachelors,13,Divorced,Sales,Wife,White,Female,0,500,36,United-States,0
31,Private,HS-grad,9,Never-married,Transport-moving,Husband,White,Male,0,0,32,United-States,0
40,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Not-in-family,Black,Male,0,0,33,United-States,1
27,State-gov,Bachelors,13,Married-civ-spouse,Tech-support,Not-in-family,White,Female,0,0,27,United-States,0
23,Private,Some-college,10,Married-civ-spouse,Other-service,Not-in-family,White,Female,5000,2000,27,United-States,0
32,Private,Doctorate,16,Never-married,Farming-fishing,Wife,White,Male,0,0,35,Italy,0
36,Private,HS-grad,9,Separated,Exec-managerial,Unmarried,White,Male,1000,0,50,United-States,0
50,Private,11th,7,Never-married,Transport-moving,Husband,White,Female,0,0,42,United-States,0
46,Private,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,41,United-States,0
25,Private,HS-grad,9,Divorced,Other-service,Own-child,White,Female,0,0,39,Italy,0
33,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Own-child,White,Female,0,0,39,United-States,0
42,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,33,United-States,1
28,Private,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,White,Female,0,0,36,United-States,0
38,Private,Some-college,10,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,0,0,40,Philippines,1
33,Self-emp-not-inc,Bachelors,13,Divorced,Protective-serv,Husband,White,Male,0,0,41,United-States,0
40,Private,Some-college,10,Never-married,Transport-moving,Husband,White,Female,0,0,31,United-States,0
40,Private,Assoc-acdm,12,Never-married,Other-service,Not-in-family,Black,Female,2000,0,28,Mexico,0
30,Private,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,41,United-States,0
32,Private,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,0,0,30,United-States,0
34,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,2000,34,Mexico,0
31,Private,Masters,14,Married-civ-spouse,Tech-support,Wife,Other,Female,0,0,40,United-States,1
39,Self-emp-not-inc,Bachelors,13,Never-married,Transport-moving,Unmarried,White,Female,0,0,40,United-States,0
50,Private,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Female,0,0,32,United-States,0
34,Local-gov,HS-grad,9,Separated,Adm-clerical,Husband,White,Female,0,0,42,United-States,0
49,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,46,United-States,1
41,Private,HS-grad,9,Married-civ-spouse,Other-service,Not-in-family,White,Male,0,0,43,China,0
18,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Own-child,White,Male,0,0,35,Germany,0
30,Private,Bachelors,13,Divorced,Craft-repair,Not-in-family,White,Female,0,500,23,United-States,0
41,Local-gov,HS-grad,9,Never-married,Prof-specialty,Husband,White,Female,0,0,42,United-States,0
22,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,0,0,51,United-States,0
51,Private,HS-grad,9,Married-civ-spouse,Priv-house-serv,Other-relative,Other,Male,0,0,44,United-States,1
38,Private,Assoc-voc,11,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,30,United-States,0
32,Local-gov,11th,7,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,45,United-States,1
28,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Tech-support,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,1
28,Private,Some-college,10,Never-married,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States,1
47,Private,Some-college,10,Never-married,Sales,Husband,Asian-Pac-Islander,Female,1000,0,29,United-States,0
22,Local-gov,HS-grad,9,Never-married,Craft-repair,Husband,White,Male,0,0,48,United-States,0
31,Local-gov,Prof-school,15,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,Mexico,0
41,Self-emp-not-inc,7th-8th,4,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,44,United-States,0
44,Federal-gov,HS-grad,9,Never-married,Handlers-cleaners,Wife,White,Female,0,0,46,United-States,0
35,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Male,0,0,30,United-States,0
50,State-gov,Prof-school,15,Never-married,Other-service,Wife,Black,Male,0,0,51,United-States,1
46,Private,Assoc-voc,11,Never-married,Other-service,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,0
34,Private,Some-college,10,Married-civ-spouse,Sales,Husband,Black,Male,0,0,33,India,0
30,State-gov,Bachelors,13,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,0,0,38,Mexico,0
25,Local-gov,Masters,14,Married-civ-spouse,Priv-house-serv,Husband,White,Male,0,0,52,United-States,1
44,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Not-in-family,Black,Male,1000,0,27,United-States,0
23,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,63,United-States,1
30,State-gov,Some-college,10,Widowed,Handlers-cleaners,Not-in-family,White,Female,10000,0,26,United-States,0
34,Private,HS-grad,9,Never-married,Protective-serv,Husband,White,Male,0,0,32,United-States,0
43,State-gov,Some-college,10,Separated,Other-service,Not-in-family,White,Female,0,0,48,Philippines,0
31,Local-gov,Bachelors,13,Separated,Other-service,Husband,Other,Male,0,0,49,United-States,1
39,Private,Doctorate,16,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,0,0,45,Mexico,0
57,Private,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Female,0,0,34,United-States,0
36,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,26,United-States,0
37,Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,42,United-States,0
55,Private,10th,6,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,44,United-States,1
31,Private,Bachelors,13,Married-civ-spouse,Farming-fishing,Not-in-family,White,Female,2000,0,36,United-States,0
28,Private,Some-college,10,Never-married,Exec-managerial,Husband,White,Male,2000,0,40,United-States,0
35,Private,Some-college,10,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,0,20,United-States,0
39,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,2000,0,29,Argentina,1
37,Private,HS-grad,9,Never-married,Sales,Wife,Black,Female,0,0,45,United-States,0
39,Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,Black,Female,10000,0,38,United-States,0
34,Private,HS-grad,9,Never-married,Protective-serv,Wife,White,Female,0,0,37,United-States,0
40,Self-emp-inc,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,10000,0,44,United-States,0
33,Private,Bachelors,13,Separated,Sales,Not-in-family,White,Male,0,0,46,United-States,0
43,Private,Masters,14,Never-married,Tech-support,Not-in-family,White,Female,0,0,34,United-States,0
28,Private,Some-college,10,Never-married,Priv-house-serv,Husband,White,Female,0,0,41,United-States,0
34,Private,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,0,0,32,United-States,0
33,State-gov,Masters,14,Never-married,Transport-moving,Not-in-family,White,Female,0,0,50,United-States,0
37,Private,Some-college,10,Never-married,Protective-serv,Husband,White,Male,10000,0,34,United-States,0
37,Private,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Female,0,0,36,United-States,0
45,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,25,United-States,0
40,Private,Assoc-voc,11,Divorced,Machine-op-inspct,Husband,White,Female,0,0,51,United-States,0
42,Private,HS-grad,9,Separated,Other-service,Not-in-family,White,Male,0,0,45,Canada,0
23,Self-emp-inc,HS-grad,9,Never-married,Sales,Wife,White,Male,0,1000,24,United-States,0
46,Private,Some-college,10,Divorced,Other-service,Not-in-family,Black,Male,0,0,29,United-States,0
29,State-gov,Some-college,10,Divorced,Prof-specialty,Not-in-family,Black,Female,0,0,39,Mexico,0
44,Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Female,5000,0,34,Italy,0
40,State-gov,Doctorate,16,Divorced,Craft-repair,Wife,White,Female,0,1000,32,United-States,0
40,Private,Some-college,10,Never-married,Craft-repair,Husband,White,Male,0,0,28,United-States,0
51,Self-emp-inc,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,39,United-States,1
32,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,45,United-States,1
35,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,37,United-States,0
38,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,36,Mexico,0
28,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Unmarried,White,Female,0,0,46,United-States,1
46,Private,Prof-school,15,Divorced,Machine-op-inspct,Other-relative,White,Female,0,0,44,United-States,1
41,Private,HS-grad,9,Married-civ-spouse,Sales,Unmarried,White,Male,0,0,38,United-States,0
46,Local-gov,Prof-school,15,Never-married,Farming-fishing,Wife,White,Female,0,0,38,United-States,1
39,Private,HS-grad,9,Divorced,Prof-specialty,Husband,White,Male,0,0,21,United-States,1
39,Private,Some-college,10,Never-married,Sales,Husband,White,Male,0,0,26,United-States,0
45,Private,Bachelors,13,Divorced,Handlers-cleaners,Husband,Asian-Pac-Islander,Female,2000,0,42,United-States,0
23,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,25,Mexico,0
57,State-gov,Some-college,10,Divorced,Sales,Not-in-family,White,Female,0,0,45,United-States,1
38,Private,Bachelors,13,Married-civ-spouse,Protective-serv,Not-in-family,White,Male,0,0,42,United-States,1
44,Private,HS-grad,9,Married-civ-spouse,Tech-support,Not-in-family,White,Female,0,0,36,United-States,0
36,Private,Bachelors,13,Never-married,Protective-serv,Not-in-family,White,Female,0,0,35,United-States,0
24,Private,HS-grad,9,Never-married,Handlers-cleaners,Husband,White,Female,0,0,37,United-States,0
35,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,1
20,Private,HS-grad,9,Never-married,Priv-house-serv,Husband,White,Male,0,0,38,United-States,0
18,Private,Some-college,10,Married-civ-spouse,Farming-fishing,Not-in-family,White,Female,1000,0,40,England,1
23,Self-emp-not-inc,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Female,0,1000,48,Italy,0
51,Private,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,37,China,1
47,Federal-gov,11th,7,Married-civ-spouse,Transport-moving,Unmarried,White,Female,0,0,29,United-States,0
45,Private,Masters,14,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Female,0,0,39,Mexico,0
37,Self-emp-not-inc,Some-college,10,Widowed,Tech-support,Not-in-family,White,Female,0,0,35,United-States,0
57,Private,HS-grad,9,Never-married,Sales,Husband,White,Female,0,0,29,United-States,0
36,Private,Masters,14,Married-civ-spouse,Tech-support,Not-in-family,Black,Male,0,0,35,United-States,0
52,State-gov,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,41,United-States,0
44,Private,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,26,United-States,0
43,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,36,Italy,0
24,Private,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,0
54,State-gov,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Not-in-family,White,Male,0,0,31,United-States,0
34,Private,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Male,0,0,37,United-States,0
38,Private,11th,7,Never-married,Other-service,Not-in-family,White,Male,0,0,29,Mexico,1
29,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,Black,Female,0,0,32,United-States,0
29,State-gov,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,0,39,China,0
38,Private,HS-grad,9,Separated,Adm-clerical,Husband,White,Male,0,0,27,United-States,0
21,Self-emp-inc,HS-grad,9,Married-civ-spouse,Other-service,Unmarried,White,Female,0,0,44,United-States,0
35,Private,HS-grad,9,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Female,0,0,44,India,0
49,Private,HS-grad,9,Never-married,Priv-house-serv,Wife,White,Female,0,0,41,India,0
38,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,43,United-States,0
49,Local-gov,Some-college,10,Never-married,Machine-op-inspct,Husband,Asian-Pac-Islander,Female,0,0,29,Germany,0
30,Without-pay,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Female,0,0,32,United-States,1
37,Private,Bachelors,13,Widowed,Sales,Own-child,Black,Male,0,0,48,United-States,1
44,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Female,0,0,34,United-States,0
49,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,39,United-States,0
58,State-gov,HS-grad,9,Never-married,Other-service,Husband,White,Male,0,0,38,India,0
31,Private,Some-college,10,Widowed,Sales,Husband,White,Female,0,0,46,United-States,0
36,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Female,0,0,33,United-States,0
39,Private,Some-college,10,Divorced,Other-service,Not-in-family,White,Male,0,0,38,United-States,0
31,Local-gov,Bachelors,13,Widowed,Machine-op-inspct,Wife,White,Female,0,0,37,United-States,0
30,Private,HS-grad,9,Never-married,Priv-house-serv,Not-in-family,Other,Male,2000,0,36,Mexico,0
19,State-gov,Doctorate,16,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Male,0,0,32,Philippines,0
40,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,38,Mexico,0
31,Without-pay,HS-grad,9,Never-married,Farming-fishing,Wife,White,Male,0,0,48,United-States,0
32,Federal-gov,Some-college,10,Married-civ-spouse,Sales,Own-child,White,Female,0,0,47,United-States,0
26,Private,Some-college,10,Never-married,Prof-specialty,Unmarried,White,Male,0,0,33,United-States,1
29,Private,11th,7,Never-married,Priv-house-serv,Not-in-family,Other,Male,10000,0,32,United-States,0
40,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,5000,0,29,United-States,1
22,Private,HS-grad,9,Never-married,Other-service,Own-child,Other,Male,0,0,41,United-States,0
32,Private,Prof-school,15,Never-married,Machine-op-inspct,Husband,White,Male,0,0,36,England,0
31,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Unmarried,Other,Male,0,0,49,Canada,0
44,Local-gov,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,White,Male,0,0,43,United-States,1
53,Self-emp-inc,Some-college,10,Never-married,Priv-house-serv,Husband,White,Male,0,0,41,United-States,0
38,Private,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Female,10000,0,36,United-States,0
40,Private,HS-grad,9,Divorced,Exec-managerial,Wife,White,Female,0,0,37,Italy,0
36,Private,Bachelors,13,Married-civ-spouse,Other-service,Not-in-family,White,Female,0,0,29,United-States,0
25,Private,Some-college,10,Separated,Farming-fishing,Own-child,Other,Female,0,0,34,Mexico,0
34,Private,HS-grad,9,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Female,0,0,43,United-States,0
34,Private,Some-college,10,Never-married,Craft-repair,Husband,White,Female,0,0,36,United-States,0
41,Federal-gov,HS-grad,9,Divorced,Handlers-cleaners,Husband,White,Male,0,0,49,United-States,0
31,Private,HS-grad,9,Never-married,Transport-moving,Husband,White,Female,0,0,33,United-States,0
35,Private,Assoc-acdm,12,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,43,United-States,1
46,Private,Bachelors,13,Widowed,Transport-moving,Wife,White,Female,0,0,40,Argentina,1
40,Private,HS-grad,9,Divorced,Tech-support,Husband,White,Male,0,0,39,United-States,0
47,Federal-gov,Some-college,10,Never-married,Other-service,Husband,Asian-Pac-Islander,Female,0,0,29,United-States,0
37,Private,HS-grad,9,Never-married,Priv-house-serv,Not-in-family,White,Male,0,0,44,Italy,0
23,Private,HS-grad,9,Widowed,Handlers-cleaners,Husband,White,Male,0,0,25,United-States,0
23,Private,Some-college,10,Separated,Priv-house-serv,Husband,Other,Female,0,0,32,United-States,0
47,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
52,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,Black,Female,0,0,43,United-States,0
44,Private,9th,5,Widowed,Farming-fishing,Wife,White,Male,0,0,36,United-States,0
22,Private,HS-grad,9,Divorced,Other-service,Wife,White,Male,0,0,38,United-States,0
36,Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Female,0,2000,46,United-States,0
30,State-gov,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Female,10000,0,25,United-States,0
40,Local-gov,HS-grad,9,Never-married,Tech-support,Husband,White,Female,0,0,37,United-States,0
22,Self-emp-inc,Doctorate,16,Married-civ-spouse,Other-service,Husband,White,Male,10000,0,46,United-States,1
23,Federal-gov,11th,7,Never-married,Craft-repair,Husband,White,Male,0,0,32,United-States,0
18,Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,43,United-States,0
37,Private,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Female,0,0,35,United-States,1
30,Without-pay,7th-8th,4,Married-civ-spouse,Other-service,Husband,White,Female,0,0,33,United-States,0
45,Private,Some-college,10,Divorced,Protective-serv,Not-in-family,White,Female,0,0,45,United-States,1
32,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,48,United-States,1
31,Private,Some-college,10,Never-married,Prof-specialty,Unmarried,White,Male,0,0,56,United-States,1
27,Private,11th,7,Divorced,Priv-house-serv,Husband,White,Male,0,0,49,Philippines,0
32,Federal-gov,Some-college,10,Married-civ-spouse,Transport-moving,Not-in-family,White,Female,0,0,38,United-States,0
18,Local-gov,Assoc-acdm,12,Separated,Tech-support,Not-in-family,White,Female,0,0,40,United-States,0
33,Private,Bachelors,13,Married-civ-spouse,Other-service,Own-child,White,Female,0,0,44,United-States,0
25,Private,HS-grad,9,Divorced,Prof-specialty,Wife,White,Male,0,0,33,United-States,0
32,Local-gov,HS-grad,9,Never-married,Handlers-cleaners,Husband,White,Male,0,0,46,United-States,0
32,Private,Some-college,10,Divorced,Farming-fishing,Husband,White,Male,0,0,41,United-States,0
41,State-gov,Masters,14,Married-civ-spouse,Other-service,Wife,Other,Female,0,0,31,Mexico,0
48,Private,HS-grad,9,Never-married,Protective-serv,Not-in-family,White,Male,5000,0,29,United-States,1
41,Private,11th,7,Married-civ-spouse,Exec-managerial,Own-child,White,Male,0,0,47,United-States,0
38,Private,Some-college,10,Married-civ-spouse,Other-service,Own-child,White,Female,0,0,35,Germany,0
43,State-gov,Some-college,10,Never-married,Prof-specialty,Husband,Asian-Pac-Islander,Female,0,0,39,United-States,1
44,Private,HS-grad,9,Divorced,Other-service,Not-in-family,Amer-Indian-Eskimo,Male,0,0,40,United-States,0
43,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Not-in-family,Other,Male,0,0,40,Germany,0
28,Local-gov,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,36,United-States,1
42,State-gov,Some-college,10,Never-married,Sales,Husband,White,Male,1000,0,40,United-States,0
35,Private,Some-college,10,Married-civ-spouse,Craft-repair,Wife,Amer-Indian-Eskimo,Female,0,0,46,United-States,0
24,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Not-in-family,White,Male,0,0,38,United-States,0
30,Private,HS-grad,9,Separated,Handlers-cleaners,Not-in-family,Black,Female,5000,0,38,United-States,0
32,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,41,United-States,0
18,Private,HS-grad,9,Never-married,Other-service,Wife,White,Male,0,2000,29,United-States,0
39,Private,10th,6,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,0,31,United-States,0
48,Local-gov,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Male,0,500,33,United-States,0
34,Private,Some-college,10,Married-civ-spouse,Protective-serv,Wife,White,Male,0,0,42,China,1
28,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Other-service,Not-in-family,Black,Male,0,0,45,United-States,0
35,Private,11th,7,Married-civ-spouse,Machine-op-inspct,Unmarried,White,Female,0,1000,43,United-States,0
41,Federal-gov,9th,5,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,0,0,52,United-States,1
58,Private,Some-college,10,Never-married,Transport-moving,Husband,White,Female,0,0,45,United-States,1
42,Private,11th,7,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,0,46,India,0
25,Private,Doctorate,16,Never-married,Farming-fishing,Not-in-family,White,Female,0,0,37,United-States,0
22,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,30,United-States,0
40,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,29,United-States,1
50,State-gov,Assoc-acdm,12,Separated,Machine-op-inspct,Not-in-family,White,Male,0,0,43,United-States,1
45,Private,Some-college,10,Separated,Sales,Husband,Black,Male,0,0,40,United-States,0
35,Private,Masters,14,Never-married,Exec-managerial,Husband,White,Male,5000,0,49,India,1
37,Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Female,0,2000,47,United-States,0
57,Private,HS-grad,9,Never-married,Exec-managerial,Husband,White,Female,0,0,31,United-States,0
